#filename,region_count,region_shape_attributes,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Mean Precision (%),TP_MEAN,FN_MEAN,FP_MEAN,TP_TOTAL,FP_TOTAL,FN_TOTAL,precision,recall
frame0.jpg,0,,0.0694262981,0.0694768429,0.0694262981,0.0694768429,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,1,0.2209035222
frame1.jpg,0,,0.0980219841,0.0980889797,0.1674482822,0.1675658226,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame2.jpg,0,,0.0658230782,0.065874815,0.2332713604,0.2334406376,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame3.jpg,0,,0.0749502182,0.0749976635,0.3082215786,0.3084383011,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame4.jpg,0,,0.0565369129,0.0565848351,0.3647584915,0.3650231361,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame5.jpg,0,,0.0808238983,0.0809051991,0.4455823898,0.4459283352,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame6.jpg,0,,0.0650610924,0.0651116371,0.5106434822,0.5110399723,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame7.jpg,0,,0.0704669952,0.0705196857,0.5811104774,0.5815596581,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame8.jpg,0,,0.0575859547,0.0576367378,0.6386964321,0.6391963959,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame9.jpg,0,,0.0710713863,0.0711231232,0.7097678185,0.710319519,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame10.jpg,0,,0.0569236279,0.0569801331,0.7666914463,0.7672996521,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame11.jpg,0,,0.0680873394,0.0681364536,0.8347787857,0.8354361057,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame12.jpg,0,,0.0588700771,0.0589230061,0.8936488628,0.8943591118,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame13.jpg,0,,0.0708782673,0.070931673,0.9645271301,0.9652907848,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame14.jpg,1,"name:rect,x: 640 ,y: 322,width: 78, height: 203",0.0607960224,0.0610518456,1.0253231525,1.0263426304,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame15.jpg,1,"name:rect,x: 644 ,y: 327,width: 72, height: 213",0.0680837631,0.0682988167,1.0934069157,1.0946414471,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame16.jpg,1,"name:rect,x: 653 ,y: 319,width: 64, height: 192",0.0647637844,0.0650026798,1.1581707001,1.1596441269,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame17.jpg,1,"name:rect,x: 655 ,y: 318,width: 62, height: 191",0.0722413063,0.0724556446,1.2304120064,1.2320997715,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame18.jpg,1,"name:rect,x: 645 ,y: 316,width: 70, height: 182",0.0604739189,0.0607233047,1.2908859253,1.2928230762,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame19.jpg,1,"name:rect,x: 641 ,y: 313,width: 72, height: 181",0.0735404491,0.073764801,1.3644263744,1.3665878773,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame20.jpg,1,"name:rect,x: 632 ,y: 308,width: 79, height: 183",0.0601522923,0.0603995323,1.4245786667,1.4269874096,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame21.jpg,1,"name:rect,x: 629 ,y: 305,width: 81, height: 189",0.0737614632,0.0739684105,1.4983401299,1.5009558201,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame22.jpg,1,"name:rect,x: 623 ,y: 303,width: 86, height: 188",0.0621891022,0.0624353886,1.560529232,1.5633912086,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame23.jpg,1,"name:rect,x: 615 ,y: 300,width: 92, height: 192",0.0743160248,0.0745551586,1.6348452568,1.6379463673,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame24.jpg,1,"name:rect,x: 612 ,y: 300,width: 94, height: 185",0.0668153763,0.067189455,1.7016606331,1.7051358223,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame25.jpg,1,"name:rect,x: 600 ,y: 297,width: 99, height: 187",0.0702929497,0.0705289841,1.7719535828,1.7756648064,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame26.jpg,1,"name:rect,x: 598 ,y: 281,width: 89, height: 200",0.062526226,0.0627925396,1.8344798088,1.838457346,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame27.jpg,1,"name:rect,x: 601 ,y: 278,width: 78, height: 198",0.0718612671,0.0721194744,1.9063410759,1.9105768204,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame28.jpg,1,"name:rect,x: 601 ,y: 278,width: 75, height: 190",0.0595154762,0.0597784519,1.9658565521,1.9703552723,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame29.jpg,1,"name:rect,x: 597 ,y: 275,width: 76, height: 191",0.0721936226,0.0724248886,2.0380501747,2.0427801609,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame30.jpg,1,"name:rect,x: 597 ,y: 272,width: 73, height: 186",0.0603234768,0.0605955124,2.0983736515,2.1033756733,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame31.jpg,1,"name:rect,x: 595 ,y: 271,width: 74, height: 180",0.0729410648,0.0731980801,2.1713147163,2.1765737534,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame32.jpg,1,"name:rect,x: 593 ,y: 266,width: 73, height: 181",0.0602748394,0.0605182648,2.2315895557,2.2370920181,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame33.jpg,1,"name:rect,x: 590 ,y: 265,width: 68, height: 179",0.0680265427,0.0682485104,2.2996160984,2.3053405285,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame34.jpg,1,"name:rect,x: 585 ,y: 266,width: 65, height: 175",0.0669841766,0.0672388077,2.366600275,2.3725793362,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame35.jpg,1,"name:rect,x: 579 ,y: 272,width: 68, height: 171",0.0746109486,0.0748841763,2.4412112236,2.4474635124,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
frame36.jpg,1,"name:rect,x: 562 ,y: 267,width: 81, height: 172",0.0645129681,0.0648262501,2.5057241917,2.5122897625,10.8144287108,14.5475454158,0.577,2.035,0,577,0,2035,,
