#filename,region_count,region_shape_attributes,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Mean Precision (%),TP,FN,FP,TP_MEAN,FN_MEAN,FP_MEAN,TP_TOTAL,FP_TOTAL,FN_TOTAL,Number_of_objects,,,,confidence,Precision,Recall
frame0.jpg,0,,0.0926864147,0.0927453041,0.0926864147,0.0927453041,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,0.9,1,0.0781928758
frame1.jpg,0,,0.1112957001,0.1113746166,0.2039821148,0.2041199207,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame2.jpg,0,,0.0728666782,0.072925806,0.276848793,0.2770457268,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame3.jpg,0,,0.0691289902,0.0691773891,0.3459777832,0.3462231159,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame4.jpg,0,,0.0671730042,0.0672242641,0.4131507874,0.4134473801,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame5.jpg,0,,0.0673892498,0.0674407482,0.4805400372,0.4808881283,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame6.jpg,0,,0.0796396732,0.0796890259,0.5601797104,0.5605771542,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame7.jpg,0,,0.0723967552,0.0724442005,0.6325764656,0.6330213547,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame8.jpg,0,,0.0687212944,0.0687699318,0.70129776,0.7017912865,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame9.jpg,0,,0.071764946,0.0718152523,0.773062706,0.7736065388,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame10.jpg,0,,0.0737695694,0.0738198757,0.8468322754,0.8474264145,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame11.jpg,0,,0.0706205368,0.070669651,0.9174528122,0.9180960655,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame12.jpg,0,,0.0671801567,0.067227602,0.9846329689,0.9853236675,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame13.jpg,0,,0.1556372643,0.1557102203,1.1402702332,1.1410338879,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame14.jpg,0,,0.1755154133,0.1755712032,1.3157856464,1.3166050911,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame15.jpg,0,,0.0842256546,0.0842788219,1.400011301,1.400883913,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame16.jpg,0,,0.0814993382,0.0815489292,1.4815106392,1.4824328423,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame17.jpg,0,,0.079656601,0.0797154903,1.5611672401,1.5621483326,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame18.jpg,0,,0.0781004429,0.0781478882,1.639267683,1.6402962208,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
frame19.jpg,0,,0.0772492886,0.0772984028,1.7165169716,1.7175946236,10.1031243312,4.1957730621,0,0,0,0.0664697194,0.7836041359,0,180,0,2122,2302,,,,,,
