#filename,region_count,region_shape_attributes,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Mean Precision (%),TP_MEAN,FN_MEAN,FP_MEAN,TP_TOTAL,FP_TOTAL,FN_TOTAL,precison,recall
frame0.jpg,1,,0.0690760612,0.0693154335,0.0690760612,0.0693154335,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,0.7004169148,0.450229709
frame1.jpg,1,"name:rect,x: 133 ,y: -69,width: 489, height: 627",0.1015725136,0.1017858982,0.1706485748,0.1711013317,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame2.jpg,1,"name:rect,x: 134 ,y: -68,width: 489, height: 626",0.0810477734,0.0813646317,0.2516963482,0.2524659634,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame3.jpg,1,"name:rect,x: 134 ,y: -70,width: 488, height: 629",0.0967752934,0.0970857143,0.3484716415,0.3495516777,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame4.jpg,1,"name:rect,x: 135 ,y: -61,width: 490, height: 620",0.084581852,0.0847971439,0.4330534935,0.4343488216,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame5.jpg,1,"name:rect,x: 134 ,y: -66,width: 488, height: 624",0.0652303696,0.0654673576,0.4982838631,0.4998161793,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame6.jpg,1,"name:rect,x: 134 ,y: -69,width: 489, height: 627",0.0603966713,0.0606267452,0.5586805344,0.5604429245,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame7.jpg,1,"name:rect,x: 134 ,y: -67,width: 490, height: 626",0.0681271553,0.0683364868,0.6268076897,0.6287794113,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame8.jpg,1,"name:rect,x: 135 ,y: -63,width: 491, height: 621",0.0601584911,0.0604085922,0.6869661808,0.6891880035,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame9.jpg,1,"name:rect,x: 133 ,y: -64,width: 492, height: 620",0.0709660053,0.0711903572,0.7579321861,0.7603783607,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame10.jpg,1,"name:rect,x: 134 ,y: -56,width: 492, height: 612",0.0596809387,0.0598907471,0.8176131248,0.8202691078,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame11.jpg,1,"name:rect,x: 133 ,y: -55,width: 493, height: 611",0.066381216,0.0666115284,0.8839943409,0.8868806362,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame12.jpg,1,"name:rect,x: 131 ,y: -59,width: 495, height: 613",0.0631344318,0.0633583069,0.9471287727,0.9502389431,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame13.jpg,2,"name:rect,x: 137 ,y: -47,width: 491, height: 605",0.0678243637,0.0681934357,1.0149531364,1.0184323788,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame13.jpg,2,"name:rect,x: 635 ,y: 321,width: 83, height: 210",0.0678243637,0.0683321953,1.0149531364,1.0867645741,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame14.jpg,2,"name:rect,x: 640 ,y: 322,width: 78, height: 203",0.0659272671,0.0663526058,1.0808804035,1.1531171799,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame14.jpg,2,"name:rect,x: 136 ,y: -37,width: 493, height: 596",0.0659272671,0.0664925575,1.0808804035,1.2196097374,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame15.jpg,2,"name:rect,x: 644 ,y: 327,width: 72, height: 213",0.0734653473,0.0738198757,1.1543457508,1.2934296131,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame15.jpg,2,"name:rect,x: 136 ,y: -35,width: 493, height: 594",0.0734653473,0.0739414692,1.1543457508,1.3673710823,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame16.jpg,2,"name:rect,x: 653 ,y: 319,width: 64, height: 192",0.0627527237,0.0631256104,1.2170984745,1.4304966927,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame16.jpg,2,"name:rect,x: 138 ,y: -27,width: 493, height: 590",0.0627527237,0.063254118,1.2170984745,1.4937508106,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame17.jpg,2,"name:rect,x: 655 ,y: 318,width: 62, height: 191",0.0718228817,0.0721950531,1.2889213562,1.5659458637,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
frame17.jpg,2,"name:rect,x: 136 ,y: -29,width: 494, height: 590",0.0718228817,0.0723307133,1.2889213562,1.638276577,6.9062459767,27.7293714884,1.176,1.436,0.503,1176,503,1436,,
