#filename,region_count,region_shape_attributes,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Mean Precision (%),TP,FN,FP,TP_MEAN,FN_MEAN,FP_MEAN,TP_TOTAL,FP_TOTAL,FN_TOTAL,Number_of_objects,,Confidence,Precision,Recall
frame0.jpg,0,,2.6953732967,2.695650816,2.6953732967,2.695650816,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,0.5,0.9829545455,0.1503040834
frame1.jpg,0,,2.5400426388,2.5402793884,5.2354159355,5.2359302044,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,,,
frame2.jpg,0,,2.5260434151,2.5262775421,7.7614593506,7.7622077465,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,,,
frame3.jpg,0,,2.5526938438,2.5529520512,10.3141531944,10.3151597977,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,,,
frame4.jpg,0,,2.5419938564,2.542314291,12.8561470509,12.8574740887,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,,,
frame5.jpg,0,,2.5330700874,2.5333058834,15.3892171383,15.3907799721,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,,,
frame6.jpg,0,,2.5205998421,2.520834446,17.9098169804,17.911614418,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,,,
frame7.jpg,0,,2.5213336945,2.5215632915,20.4311506748,20.4331777096,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,,,
frame8.jpg,0,,2.5474436283,2.5477561951,22.9785943031,22.9809339046,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,,,
frame9.jpg,0,,2.5506336689,2.5508921146,25.529227972,25.5318260193,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,,,
frame10.jpg,0,,2.5220587254,2.5222949982,28.0512866974,28.0541210175,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,,,
frame11.jpg,0,,2.523696661,2.5239388943,30.5749833584,30.5780599117,0.400268956,7.479588052,0,0,0,0.1277695716,0.7223042836,0.0022156573,346,6,1956,2308,,,,
