#filename,region_count,region_shape_attributes,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Mean Precision (%),TP,FN,FP,TP_MEAN,FN_MEAN,FP_MEAN,TP_TOTAL,FP_TOTAL,FN_TOTAL,Number_of_objects,,,Precision,Recall
frame0.jpg,0,,0.079157114,0.0792095661,0.079157114,0.0792095661,8.229046449,5.5221664636,0,0,0,0.0908419498,0.7592319055,0,246,0,2056,2302,,,1,0.1068635969
frame1.jpg,0,,0.1420552731,0.142108202,0.2212123871,0.2213177681,8.229046449,5.5221664636,0,0,0,0.0908419498,0.7592319055,0,246,0,2056,2302,,,,
frame2.jpg,0,,0.0838937759,0.0839524269,0.305106163,0.305270195,8.229046449,5.5221664636,0,0,0,0.0908419498,0.7592319055,0,246,0,2056,2302,,,,
frame3.jpg,0,,0.0968253613,0.0968768597,0.4019315243,0.4021470547,8.229046449,5.5221664636,0,0,0,0.0908419498,0.7592319055,0,246,0,2056,2302,,,,
frame4.jpg,0,,0.0781290531,0.0781810284,0.4800605774,0.480328083,8.229046449,5.5221664636,0,0,0,0.0908419498,0.7592319055,0,246,0,2056,2302,,,,
frame5.jpg,0,,0.0992453098,0.0992975235,0.5793058872,0.5796256065,8.229046449,5.5221664636,0,0,0,0.0908419498,0.7592319055,0,246,0,2056,2302,,,,
frame6.jpg,0,,0.0758559704,0.0759139061,0.6551618576,0.6555395126,8.229046449,5.5221664636,0,0,0,0.0908419498,0.7592319055,0,246,0,2056,2302,,,,
frame7.jpg,0,,0.1034252644,0.1034784317,0.758587122,0.7590179443,8.229046449,5.5221664636,0,0,0,0.0908419498,0.7592319055,0,246,0,2056,2302,,,,
frame8.jpg,0,,0.0797789097,0.0798380375,0.8383660316,0.8388559818,8.229046449,5.5221664636,0,0,0,0.0908419498,0.7592319055,0,246,0,2056,2302,,,,
frame9.jpg,0,,0.1038861275,0.1039400101,0.9422521591,0.9427959919,8.229046449,5.5221664636,0,0,0,0.0908419498,0.7592319055,0,246,0,2056,2302,,,,
