#filename,region_count,region_shape_attributes,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Mean Precision (%),TP,FN,FP,TP_MEAN,FN_MEAN,FP_MEAN,TP_TOTAL,FP_TOTAL,FN_TOTAL,Number_of_objects,,Confidance ,Precision,Recall
frame0.jpg,0,,2.5969493389,2.5972175598,2.5969493389,2.5972175598,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,0.1,0.8777777778,0.1715899218
frame1.jpg,0,,2.5262522697,2.5265061855,5.1232016087,5.1237237453,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,,,
frame2.jpg,0,,2.5284159184,2.5286633968,7.651617527,7.6523871422,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,,,
frame3.jpg,0,,2.526684761,2.5269327164,10.1783022881,10.1793198586,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,,,
frame4.jpg,0,,2.5257499218,2.525998354,12.7040522099,12.7053182125,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,,,
frame5.jpg,0,,2.5248670578,2.5250988007,15.2289192677,15.2304170132,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,,,
frame6.jpg,0,,2.5257923603,2.5260381699,17.754711628,17.756455183,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,,,
frame7.jpg,0,,2.5262622833,2.5265078545,20.2809739113,20.2829630375,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,,,
frame8.jpg,0,,2.5263352394,2.5265786648,22.8073091507,22.8095417023,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,,,
frame9.jpg,0,,2.5281832218,2.528429985,25.3354923725,25.3379716873,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,,,
frame10.jpg,0,,2.5270409584,2.5272865295,27.8625333309,27.8652582169,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,,,
frame11.jpg,0,,2.5257325172,2.5259759426,30.3882658482,30.3912341595,0.3968506257,8.1715313139,0,0,0,0.1458641064,0.7042097489,0.020310192,395,55,1907,2357,,,,
