#filename,region_count,region_shape_attributes,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Mean Precision (%),TP_MEAN,FN_MEAN,FP_MEAN,TP_TOTAL,FP_TOTAL,FN_TOTAL,,precision,recall
frame0.jpg,0,,0.1854946613,0.1855745316,0.1854946613,0.1855745316,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,0.9544468547,0.5734144222
frame1.jpg,0,,0.2243959904,0.2244622707,0.4098906517,0.4100368023,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame2.jpg,0,,0.1838612556,0.183917284,0.5937519073,0.5939540863,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame3.jpg,0,,0.1852309704,0.1852829456,0.7789828777,0.7792370319,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame4.jpg,0,,0.1817040443,0.1817576885,0.9606869221,0.9609947205,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame5.jpg,0,,0.1732161045,0.1732923985,1.1339030266,1.1342871189,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame6.jpg,0,,0.1731541157,0.1732115746,1.3070571423,1.3074986935,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame7.jpg,0,,0.1870000362,0.1870653629,1.4940571785,1.4945640564,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame8.jpg,0,,0.181681633,0.1817409992,1.6757388115,1.6763050556,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame9.jpg,0,,0.1955370903,0.1956045628,1.8712759018,1.8719096184,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame10.jpg,0,,0.1808857918,0.180942297,2.0521616936,2.0528519154,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame11.jpg,0,,0.1848111153,0.18486619,2.2369728088,2.2377181053,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame12.jpg,0,,0.1778039932,0.1778583527,2.4147768021,2.415576458,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame13.jpg,0,,0.2166354656,0.2167103291,2.6314122677,2.632286787,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame14.jpg,0,,0.1886241436,0.1886870861,2.8200364113,2.8209738731,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame15.jpg,0,,0.1780252457,0.1780855656,2.998061657,2.9990594387,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame16.jpg,0,,0.1838576794,0.1839106083,3.1819193363,3.182970047,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame17.jpg,0,,0.1898105145,0.189874649,3.3717298508,3.372844696,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame18.jpg,0,,0.1787266731,0.178776741,3.5504565239,3.5516214371,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame19.jpg,0,,0.180658102,0.1807143688,3.7311146259,3.7323358059,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame20.jpg,0,,0.1865119934,0.1865644455,3.9176266193,3.9189002514,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame21.jpg,0,,0.1802508831,0.1803023815,4.0978775024,4.0992026329,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame22.jpg,0,,0.1812193394,0.1812751293,4.2790968418,4.2804777622,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame23.jpg,0,,0.1992633343,0.1993186474,4.4783601761,4.4797964096,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame24.jpg,0,,0.2002723217,0.200319767,4.6786324978,4.6801161766,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
frame25.jpg,0,,0.2057914734,0.2058477402,4.8844239712,4.8859639168,1.2897208052,36.0697018329,0.4874446086,0.3626292467,0.0232644018,1320,63,982,,,
