#filename,region_count,region_shape_attributes,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Mean Precision (%),TP,FN,FP,TP_MEAN,FN_MEAN,FP_MEAN,TP_TOTAL,FP_TOTAL,FN_TOTAL,Number_of_objects,,Precision,Recall
frame0.jpg,0,,0.0888590813,0.0889115334,0.0888590813,0.0889115334,8.8520851404,6.6994539515,0,0,0,0.1141063516,0.7359675037,0.0011078287,309,3,1993,2305,,0.9903846154,0.1342311034
frame1.jpg,0,,0.1245207787,0.1245861053,0.2133798599,0.2134976387,8.8520851404,6.6994539515,0,0,0,0.1141063516,0.7359675037,0.0011078287,309,3,1993,2305,,,
frame2.jpg,0,,0.0918469429,0.0918955803,0.3052268028,0.305393219,8.8520851404,6.6994539515,0,0,0,0.1141063516,0.7359675037,0.0011078287,309,3,1993,2305,,,
frame3.jpg,0,,0.093296051,0.0933482647,0.3985228539,0.3987414837,8.8520851404,6.6994539515,0,0,0,0.1141063516,0.7359675037,0.0011078287,309,3,1993,2305,,,
frame4.jpg,0,,0.0815863609,0.0816378593,0.4801092148,0.480379343,8.8520851404,6.6994539515,0,0,0,0.1141063516,0.7359675037,0.0011078287,309,3,1993,2305,,,
frame5.jpg,0,,0.155102253,0.1551926136,0.6352114677,0.6355719566,8.8520851404,6.6994539515,0,0,0,0.1141063516,0.7359675037,0.0011078287,309,3,1993,2305,,,
frame6.jpg,0,,0.1137340069,0.1137871742,0.7489454746,0.7493591309,8.8520851404,6.6994539515,0,0,0,0.1141063516,0.7359675037,0.0011078287,309,3,1993,2305,,,
frame7.jpg,0,,0.0853357315,0.0853877068,0.8342812061,0.8347468376,8.8520851404,6.6994539515,0,0,0,0.1141063516,0.7359675037,0.0011078287,309,3,1993,2305,,,
frame8.jpg,0,,0.0959596634,0.0960257053,0.9302408695,0.930772543,8.8520851404,6.6994539515,0,0,0,0.1141063516,0.7359675037,0.0011078287,309,3,1993,2305,,,
frame9.jpg,0,,0.0886511803,0.088706255,1.0188920498,1.0194787979,8.8520851404,6.6994539515,0,0,0,0.1141063516,0.7359675037,0.0011078287,309,3,1993,2305,,,
